ProductID;Name;K-ID;Kategori;Date;Manad;Vecka;St.;kg;Ordinarie Pris [Kr];Sänkt till [Kr];Nedsatt [Kr];Nedsatt [%];Inpris (Förp) [Kr];Marginal [Kr];Marginal [%]
'10065239;;11;Kolonial/Non-Food;2023-02-26 14:36:50;;;1,00;;   46,95;   32,87;   14,08; 30,0;    0,00;32,87;100
'10065239;;11;Kolonial/Non-Food;2023-02-26 14:37:56;;;1,00;;   46,95;   32,87;   14,08; 30,0;    0,00;32,87;100
'10065239;;11;Kolonial/Non-Food;2023-02-26 14:39:17;;;1,00;;   46,95;   32,87;   14,08; 30,0;    0,00;32,87;100
'7310401016481;Loka Citron ÅP - Loka;12;Fri Grupp 12;2023-02-26 15:39:17;;;1,00;;    6,90;    4,83;    2,07; 30,0;  246,00;-241,17;-4993,1677018633540372670807453
'7310401016481;Loka Citron ÅP - Loka;12;Fri Grupp 12;2023-02-26 15:39:17;;;1,00;;    6,90;    4,83;    2,07; 30,0;  246,00;-241,17;-4993,1677018633540372670807453
'7310401016481;Loka Citron ÅP - Loka;12;Fri Grupp 12;2023-02-26 15:39:17;;;1,00;;    6,90;    4,83;    2,07; 30,0;  246,00;-241,17;-4993,1677018633540372670807453
'7310401016481;Loka Citron ÅP - Loka;12;Fri Grupp 12;2023-02-26 15:39:17;;;1,00;;    6,90;    4,83;    2,07; 30,0;  246,00;-241,17;-4993,1677018633540372670807453
'7310401016481;Loka Citron ÅP - Loka;12;Fri Grupp 12;2023-02-26 15:39:17;;;1,00;;    6,90;    4,83;    2,07; 30,0;  246,00;-241,17;-4993,1677018633540372670807453
'7310401016481;Loka Citron ÅP - Loka;1;Kolonial;2023-02-26 11:29:39;;;1,00;;    6,90;    4,83;    2,07; 30,0;  246,00;-241,17;-4993,1677018633540372670807453
'7310401016481;Loka Citron ÅP - Loka;1;Kolonial;2023-02-26 11:29:46;;;1,00;;    6,90;    4,83;    2,07; 30,0;  246,00;-241,17;-4993,1677018633540372670807453
'7310401016481;Loka Citron ÅP - Loka;1;Kolonial;2023-02-26 13:12:23;;;1,00;;    6,90;    4,83;    2,07; 30,0;  246,00;-241,17;-4993,1677018633540372670807453
'10065239;;11;Kolonial/Non-Food;2023-02-26 14:35:04;;;1,00;;   46,95;   32,87;   14,08; 30,0;    0,00;32,87;100
'10065239;;11;Kolonial/Non-Food;2023-02-26 14:35:15;;;1,00;;   46,95;   32,87;   14,08; 30,0;    0,00;32,87;100
'7350126711049;;11;Kolonial/Non-Food;2023-02-26 14:35:51;;;1,00;;   46,95;   32,87;   14,08; 30,0;    0,00;32,87;100
'7350126711049;;11;Kolonial/Non-Food;2023-02-26 14:35:57;;;1,00;;   46,95;   32,87;   14,08; 30,0;    0,00;32,87;100
'7350126711049;;11;Kolonial/Non-Food;2023-02-26 14:36:29;;;1,00;;   46,95;   32,87;   14,08; 30,0;    0,00;32,87;100
'7310401016481;Loka Citron ÅP - Loka;1;Kolonial;2023-02-26 14:46:53;;;1,00;;    6,90;    4,83;    2,07; 30,0;  246,00;-241,17;-4993,1677018633540372670807453
'7350126711049;;11;Kolonial/Non-Food;2023-02-26 14:47:59;;;1,00;;   46,95;   32,87;   14,08; 30,0;    0,00;32,87;100
'7310401016481;Loka Citron ÅP - Loka;1;Kolonial;2023-02-26 15:45:46;;;1,00;;    6,90;    4,83;    2,07; 30,0;  246,00;-241,17;-4993,1677018633540372670807453
'7310401016481;Loka Citron ÅP - Loka;1;Kolonial;2023-02-26 17:29:39;;;1,00;;    6,90;    4,83;    2,07; 30,0;  246,00;-241,17;-4993,1677018633540372670807453
'7310401016481;Loka Citron ÅP - Loka;1;Kolonial;2023-02-26 17:29:39;;;1,00;;    6,90;    4,83;    2,07; 30,0;  246,00;-241,17;-4993,1677018633540372670807453
'2319202900000;Luffarbiff Utmärkt - ICA;7;Kött;2023-02-26 17:31:37;;;1,00;1,000;  255,00;  178,50;   76,50; 30,0;18267,00;-18088,5;-10133,613445378151260504201681
'7310401016481;Loka Citron ÅP - Loka;12;Fri Grupp 12;2023-02-27 11:11:14;;;1,00;;    6,90;    4,83;    2,07; 30,0;  246,00;-241,17;-4993,1677018633540372670807453
'7310401016481;Loka Citron ÅP - Loka;12;Fri Grupp 12;2023-02-27 11:11:25;;;1,00;;    6,90;    4,83;    2,07; 30,0;  246,00;-241,17;-4993,1677018633540372670807453
'4084500350816;Instant Relief - Head & Shoulders;1;Kolonial;2023-02-27 11:49:30;;;1,00;;   33,90;   23,73;   10,17; 30,0; 1865,00;-1841,27;-7759,2498946481247366203118416
'4062300122345;Risot Milanes m ky - Hipp;1;Kolonial;2023-02-27 12:16:35;;;1,00;;   17,00;   11,90;    5,10; 30,0; 1257,00;-1245,1;-10463,025210084033613445378151
'7310401016481;Loka Citron ÅP - Loka;12;Fri Grupp 12;2023-02-27 15:17:08;;;1,00;;    6,90;    4,83;    2,07; 30,0;  246,00;-241,17;-4993,1677018633540372670807453
'4062300253520;Ris grönsa/kyck 6m - Hipp;5;Mejeri;2023-02-27 15:32:06;;;1,00;;   13,95;    9,77;    4,18; 30,0;  962,00;-952,23;-9746,468781985670419651995906
'4084500250338;Gold orchid - Lenor;1;Kolonial;2023-02-27 16:04:58;;;1,00;;   36,90;   29,52;    7,38; 20,0; 1677,00;-1647,48;-5580,8943089430894308943089431
'7350126711049;;11;Kolonial/Non-Food;2023-02-27 11:11:46;;;1,00;;   46,95;   32,87;   14,08; 30,0;    0,00;32,87;100
'7350126711049;;11;Kolonial/Non-Food;2023-02-27 11:11:54;;;1,00;;   46,95;   32,87;   14,08; 30,0;    0,00;32,87;100
'7310401016481;Loka Citron ÅP - Loka;1;Kolonial;2023-02-27 14:30:12;;;1,00;;    6,90;    4,83;    2,07; 30,0;  246,00;-241,17;-4993,1677018633540372670807453
'7310401016481;Loka Citron ÅP - Loka;1;Kolonial;2023-02-27 14:30:12;;;1,00;;    6,90;    4,83;    2,07; 30,0;  246,00;-241,17;-4993,1677018633540372670807453
'7310401016481;Loka Citron ÅP - Loka;1;Kolonial;2023-02-27 14:30:12;;;1,00;;    6,90;    4,83;    2,07; 30,0;  246,00;-241,17;-4993,1677018633540372670807453
'7310401016481;Loka Citron ÅP - Loka;1;Kolonial;2023-02-27 15:16:16;;;1,00;;    6,90;    4,83;    2,07; 30,0;  246,00;-241,17;-4993,1677018633540372670807453
'7310401016481;Loka Citron ÅP - Loka;12;Fri Grupp 12;2023-02-28 11:42:03;;;1,00;;    6,90;    4,83;    2,07; 30,0;  246,00;-241,17;-4993,1677018633540372670807453
'7310401016481;Loka Citron ÅP - Loka;12;Fri Grupp 12;2023-02-28 11:44:10;;;1,00;;    6,90;    4,83;    2,07; 30,0;  246,00;-241,17;-4993,1677018633540372670807453
'7310401016481;Loka Citron ÅP - Loka;12;Fri Grupp 12;2023-02-28 11:45:03;;;1,00;;    6,90;    4,83;    2,07; 30,0;  246,00;-241,17;-4993,1677018633540372670807453
'7310401016481;Loka Citron ÅP - Loka;12;Fri Grupp 12;2023-02-28 11:45:41;;;1,00;;    6,90;    4,83;    2,07; 30,0;  246,00;-241,17;-4993,1677018633540372670807453
'7311311021169;;13;Fri Grupp 13;2023-02-28 13:28:24;;;1,00;;    5,99;    4,19;    1,80; 30,1;    0,00;4,19;100
'10063399;;8;Fisk;2023-02-28 14:42:03;;;1,00;1,000;   50,00;   35,00;   15,00; 30,0;    0,00;35;100
'7310401016481;Loka Citron ÅP - Loka;12;Fri Grupp 12;2023-02-28 14:58:35;;;1,00;;    6,90;    4,83;    2,07; 30,0;  246,00;-241,17;-4993,1677018633540372670807453
'7310401016481;Loka Citron ÅP - Loka;1;Kolonial;2023-02-28 13:38:13;;;1,00;;    6,90;    4,83;    2,07; 30,0;  246,00;-241,17;-4993,1677018633540372670807453
'7312060500462;Gräddgl Ap/Ban/Cho - Triumf Glass;15;Fryst;2023-02-28 13:41:31;;;1,00;;   39,00;   27,30;   11,70; 30,0; 2452,00;-2424,7;-8881,684981684981684981684982
'7312060500462;Gräddgl Ap/Ban/Cho - Triumf Glass;15;Fryst;2023-02-28 13:41:31;;;1,00;;   39,00;   27,30;   11,70; 30,0; 2452,00;-2424,7;-8881,684981684981684981684982
'7312060500462;Gräddgl Ap/Ban/Cho - Triumf Glass;15;Fryst;2023-02-28 13:41:31;;;1,00;;   39,00;   27,30;   11,70; 30,0; 2452,00;-2424,7;-8881,684981684981684981684982
'7312060500462;Gräddgl Ap/Ban/Cho - Triumf Glass;15;Fryst;2023-02-28 13:41:31;;;1,00;;   39,00;   27,30;   11,70; 30,0; 2452,00;-2424,7;-8881,684981684981684981684982
'7312060500462;Gräddgl Ap/Ban/Cho - Triumf Glass;15;Fryst;2023-02-28 13:41:31;;;1,00;;   39,00;   27,30;   11,70; 30,0; 2452,00;-2424,7;-8881,684981684981684981684982
'7311311021169;;1;Kolonial;2023-02-28 14:40:49;;;1,00;0,002;    0,18;    0,13;    0,05; 27,8;    0,00;0,13;100
'7310401016481;Loka Citron ÅP - Loka;1;Kolonial;2023-02-28 14:46:26;;;1,00;;    6,90;    4,83;    2,07; 30,0;  246,00;-241,17;-4993,1677018633540372670807453
'7312333002297;;4;Chark;2023-02-28 14:50:21;;;1,00;;    3,00;    2,10;    0,90; 30,0;    0,00;2,1;100
'7310401016481;Loka Citron ÅP - Loka;1;Kolonial;2023-02-28 14:58:24;;;1,00;;    6,90;    4,83;    2,07; 30,0;  246,00;-241,17;-4993,1677018633540372670807453
'7350126711049;;11;Kolonial/Non-Food;2023-03-01 10:17:33;;;1,00;;   46,95;   32,87;   14,08; 30,0;    0,00;32,87;100
'7310401016481;Loka Citron ÅP - Loka;12;Fri Grupp 12;2023-03-01 11:34:39;;;1,00;;    6,90;    4,83;    2,07; 30,0;  246,00;-241,17;-4993,1677018633540372670807453
'5411188116998;Soja i Kaffe - Alpro;5;Mejeri;2023-03-01 11:36:28;;;1,00;;   19,95;   13,97;    5,98; 30,0; 1314,00;-1300,03;-9305,869720830350751610594130
'7311250004728;;1;Kolonial;2023-03-01 12:10:30;;;1,00;;   48,00;   33,60;   14,40; 30,0;    0,00;33,6;100
'4052899911246;osram led 2w - Osram;1;Kolonial;2023-03-01 12:11:21;;;1,00;;   99,00;   69,30;   29,70; 30,0;   41,00;28,3;40,836940836940836940836940840
'4052899911246;osram led 2w - Osram;1;Kolonial;2023-03-01 12:29:23;;;1,00;;   99,00;   69,30;   29,70; 30,0;   41,00;28,3;40,836940836940836940836940840
'2319264100004;Pepparbiff - ICA;7;Kött;2023-03-01 13:22:01;;;1,00;0,358;   60,86;   42,60;   18,26; 30,0;  403,82;-361,224;-847,9436619718309859154929577
'2319264100004;Pepparbiff - ICA;7;Kött;2023-03-01 13:22:37;;;1,00;5,645;  959,65;  671,76;  287,89; 30,0; 6367,56;-5695,80;-847,8921043229724901750625223
'2319264100004;Pepparbiff - ICA;7;Kött;2023-03-01 13:24:34;;;1,00;5,896; 1002,32;  701,62;  300,70; 30,0; 6650,69;-5949,068;-847,9045637239531370257404293
'7310401016481;Loka Citron ÅP - Loka;12;Fri Grupp 12;2023-03-01 14:48:36;;;1,00;;    6,90;    3,45;    3,45; 50,0;  246,00;-242,55;-7030,4347826086956521739130435
'7310401016481;Loka Citron ÅP - Loka;12;Fri Grupp 12;2023-03-01 14:49:15;;;1,00;;    6,90;    3,45;    3,45; 50,0;  246,00;-242,55;-7030,4347826086956521739130435
'7311250004667;;1;Kolonial;2023-03-01 16:35:46;;;1,00;;   25,55;   17,89;    7,66; 30,0;    0,00;17,89;100
'5411188116998;Soja i Kaffe - Alpro;5;Mejeri;2023-03-01 16:39:56;;;1,00;;   19,95;   13,97;    5,98; 30,0; 1314,00;-1300,03;-9305,869720830350751610594130
'7310240060072;Ketchup BigPack - Felix;1;Kolonial;2023-03-01 16:52:59;;;1,00;;   20,00;   14,00;    6,00; 30,0;    0,00;14;100
'7310401016481;Loka Citron ÅP - Loka;1;Kolonial;2023-03-01 10:18:06;;;1,00;;    6,90;    4,83;    2,07; 30,0;  246,00;-241,17;-4993,1677018633540372670807453
'5411188116998;Soja i Kaffe - Alpro;5;Mejeri;2023-03-01 10:39:24;;;1,00;;   19,95;   13,97;    5,98; 30,0; 1314,00;-1300,03;-9305,869720830350751610594130
'7310401016481;Loka Citron ÅP - Loka;1;Kolonial;2023-03-01 14:53:51;;;1,00;;    6,90;    4,83;    2,07; 30,0;  246,00;-241,17;-4993,1677018633540372670807453
'7310401016481;Loka Citron ÅP - Loka;1;Kolonial;2023-03-01 14:53:51;;;1,00;;    6,90;    4,83;    2,07; 30,0;  246,00;-241,17;-4993,1677018633540372670807453
'7310240060072;Ketchup BigPack - Felix;1;Kolonial;2023-03-01 16:40:58;;;1,00;;   20,00;   14,00;    6,00; 30,0;    0,00;14;100
'7310401016481;Loka Citron ÅP - Loka;12;Fri Grupp 12;2023-03-02 12:10:14;;;1,00;;    6,90;    4,83;    2,07; 30,0;  246,00;-241,17;-4993,1677018633540372670807453
'4052899911246;osram led 2w - Osram;1;Kolonial;2023-03-02 11:00:32;;;1,00;;   99,00;   69,30;   29,70; 30,0;   41,00;28,3;40,836940836940836940836940840
'4052899911246;osram led 2w - Osram;1;Kolonial;2023-03-02 11:00:32;;;1,00;;   99,00;   69,30;   29,70; 30,0;   41,00;28,3;40,836940836940836940836940840
'2319106000004;Finm Fläskf 20% - ICA;7;Kött;2023-12-06 10:08:23;;;1,00;0,500;   29,00;   20,30;    8,70; 30,0;   19,71;0,595;2,9310344827586206896551724100
'2319106000004;Finm Fläskf 20% - ICA;7;Kött;2023-12-06 10:10:19;;;1,00;0,500;   29,00;   20,30;    8,70; 30,0;   19,71;0,595;2,9310344827586206896551724100
'2092456900001;Blomkål;3;Frukt & Grönt;2023-12-06 10:16:02;;;1,00;0,250;    7,49;    5,24;    2,25; 30,0;    3,38;1,865;35,591603053435114503816793890
'2092456900001;Blomkål;3;Frukt & Grönt;2023-12-06 10:17:18;;;1,00;1,000;   29,95;   20,97;    8,98; 30,0;   13,50;7,47;35,622317596566523605150214590
'2092456900001;Blomkål;3;Frukt & Grönt;2023-12-06 10:17:21;;;1,00;0,250;    7,49;    5,24;    2,25; 30,0;    3,38;1,865;35,591603053435114503816793890
'2092456900001;Blomkål;3;Frukt & Grönt;2023-12-06 10:17:23;;;1,00;1,000;   29,95;   20,97;    8,98; 30,0;   13,50;7,47;35,622317596566523605150214590
'2092456900001;Blomkål;3;Frukt & Grönt;2023-12-06 10:17:53;;;1,00;1,000;   29,95;   20,97;    8,98; 30,0;   13,50;7,47;35,622317596566523605150214590
'2092456900001;Blomkål;3;Frukt & Grönt;2023-12-06 10:17:57;;;1,00;0,500;   14,98;   10,49;    4,49; 30,0;    6,75;3,74;35,653002859866539561487130600
'2092456900001;Blomkål;3;Frukt & Grönt;2023-12-06 10:18:04;;;1,00;0,250;    7,49;    5,24;    2,25; 30,0;    3,38;1,865;35,591603053435114503816793890
'2092456900001;Blomkål;3;Frukt & Grönt;2023-12-06 10:19:26;;;1,00;0,500;   14,98;   10,49;    4,49; 30,0;    6,75;3,74;35,653002859866539561487130600
'2092456900001;Blomkål;3;Frukt & Grönt;2023-12-06 11:09:13;;;1,00;0,250;    7,49;    5,24;    2,25; 30,0;    3,38;1,865;35,591603053435114503816793890
'2092456900001;Blomkål;3;Frukt & Grönt;2023-12-06 11:09:32;;;1,00;0,250;    7,49;    5,24;    2,25; 30,0;    3,38;1,865;35,591603053435114503816793890
'2092456900001;Blomkål;3;Frukt & Grönt;2023-12-06 11:09:37;;;1,00;0,250;    7,49;    5,24;    2,25; 30,0;    3,38;1,865;35,591603053435114503816793890
'2319106000004;Finm Fläskf 20% - ICA;7;Kött;2023-12-06 11:09:42;;;1,00;0,375;   21,75;   15,23;    6,52; 30,0;   14,78;0,45125;2,9629021667760998030203545600
'2092456900001;Blomkål;3;Frukt & Grönt;2023-12-06 18:08:16;;;1,00;0,500;   14,98;   10,49;    4,49; 30,0;    6,75;3,74;35,653002859866539561487130600
'2092456900001;Blomkål;3;Frukt & Grönt;2023-12-06 18:08:39;;;1,00;1,000;   29,95;   20,97;    8,98; 30,0;   13,50;7,47;35,622317596566523605150214590
'2092456900001;Blomkål;3;Frukt & Grönt;2023-12-06 18:09:18;;;1,00;0,250;    7,49;    5,24;    2,25; 30,0;    3,38;1,865;35,591603053435114503816793890
'2319106000004;Finm Fläskf 20% - ICA;7;Kött;2023-12-06 18:09:48;;;1,00;1,000;   58,00;   40,60;   17,40; 30,0;   39,41;1,19;2,9310344827586206896551724100
'2319106000004;Finm Fläskf 20% - ICA;7;Kött;2023-12-06 18:10:08;;;1,00;0,500;   29,00;   20,30;    8,70; 30,0;   19,71;0,595;2,9310344827586206896551724100
'2319106000004;Finm Fläskf 20% - ICA;7;Kött;2023-12-06 18:10:23;;;1,00;0,375;   21,75;   15,23;    6,52; 30,0;   14,78;0,45125;2,9629021667760998030203545600
'2319106000004;Finm Fläskf 20% - ICA;7;Kött;2023-12-06 18:11:09;;;1,00;0,250;   14,50;   10,15;    4,35; 30,0;    9,85;0,2975;2,9310344827586206896551724100
'2319106000004;Finm Fläskf 20% - ICA;7;Kött;2023-12-06 18:11:45;;;1,00;0,125;    7,25;    5,08;    2,17; 29,9;    4,93;0,15375;3,0265748031496062992125984300
